NOM_TURNO,COLONIA,SOSTENIMIENTO,NIVEL,PROGRAMA,DESERCION_INTRACURRICULAR,REPROBACION,REPROBACION_CON_REGULARIZADOS,EFICIENCIA_TERMINAL
MATUTINO,9000,PARTICULAR,BACHILLERATO,GENERAL,0.1357,0.0,0.0,0.525
VESPERTINO,9000,PARTICULAR,BACHILLERATO,GENERAL,0.3113,0.0,0.0,0.0
MATUTINO,9338,PARTICULAR,BACHILLERATO,GENERAL,0.0123,0.175,0.05,1.0
MATUTINO,9424,PARTICULAR,BACHILLERATO,GENERAL,0.25,0.1667,0.1667,0.0
MATUTINO,9000,PARTICULAR,BACHILLERATO,GENERAL,0.325,0.0,0.0,0.35
VESPERTINO,9351,PARTICULAR,BACHILLERATO,GENERAL,0.0,1.0,1.0,0.0
VESPERTINO,9009,PARTICULAR,BACHILLERATO,GENERAL,0.0,0.0,0.0,0.0
MATUTINO,9424,PARTICULAR,BACHILLERATO,GENERAL,0.0,0.2962,0.1385,0.8947
MATUTINO,9430,PARTICULAR,BACHILLERATO,GENERAL,0.0,0.0493,0.0049,0.8382
VESPERTINO,9000,PARTICULAR,BACHILLERATO,GENERAL,0.0923,0.0508,0.0,0.7857
MATUTINO,9000,PARTICULAR,BACHILLERATO,GENERAL,0.0,0.2778,0.0556,0.7727
MATUTINO,9368,PARTICULAR,BACHILLERATO,GENERAL,0.1169,0.1912,0.1176,0.8158
MATUTINO,9424,PARTICULAR,BACHILLERATO,GENERAL,0.0102,0.0515,0.0515,0.75
MATUTINO,9415,PARTICULAR,BACHILLERATO,GENERAL,0.0192,0.3922,0.1814,0.7407
MATUTINO,9338,PARTICULAR,BACHILLERATO,GENERAL,0.0,0.0625,0.0469,0.9091
MATUTINO,9384,PARTICULAR,BACHILLERATO,GENERAL,0.0322,0.1641,0.0443,0.7957
MATUTINO,0,PARTICULAR,BACHILLERATO,GENERAL,0.0,0.1381,0.0,1.0
MATUTINO,9430,PARTICULAR,BACHILLERATO,GENERAL,0.0,0.3125,0.0938,0.9808
VESPERTINO,9074,PARTICULAR,BACHILLERATO,GENERAL,0.0392,0.2755,0.0204,0.7742
MATUTINO,9010,PARTICULAR,BACHILLERATO,GENERAL,0.024,0.4426,0.2295,0.6129
DISCONTINUO,9361,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.0,0.0,0.0
MATUTINO,9066,PARTICULAR,BACHILLERATO,GENERAL,0.0191,0.0584,0.0,0.0
MATUTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.2442,0.2442,0.0
VESPERTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.0985,0.0985,0.0
MATUTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.0,0.0,0.0
NOCTURNO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.6667,0.0,0.0,0.0
MATUTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.4692,0.1339,0.0,0.0
NOCTURNO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.0853,0.0,0.0
MATUTINO,9356,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.0,0.0,0.0
NOCTURNO,9356,PARTICULAR,BACHILLERATO,BIS NO ESC,0.1478,0.0,0.0,0.0
MATUTINO,9008,PARTICULAR,BACHILLERATO,BIS NO ESC,1.0,0.0,0.0,0.0
VESPERTINO,9008,PARTICULAR,BACHILLERATO,BIS NO ESC,1.0,0.0,0.0,0.0
NOCTURNO,9008,PARTICULAR,BACHILLERATO,BIS NO ESC,1.0,0.0,0.0,0.0
MATUTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.03,0.0,0.0
VESPERTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.0361,0.0,0.0
MATUTINO,9121,PARTICULAR,BACHILLERATO,BIS NO ESC,0.1515,0.0357,0.0,0.0
VESPERTINO,9121,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.04,0.0,0.0
NOCTURNO,9121,PARTICULAR,BACHILLERATO,BIS NO ESC,0.3333,0.0,0.0,0.0
MATUTINO,9055,PARTICULAR,BACHILLERATO,BIS NO ESC,0.7759,0.3846,0.3077,0.0
MATUTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.0,0.0,0.0
VESPERTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0795,0.0,0.0,0.0
NOCTURNO,9066,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.0,0.0,0.0
MATUTINO,9335,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,1.0,1.0,0.0
MATUTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0682,0.0488,0.0,0.0
VESPERTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.4348,0.0,0.0,0.0
NOCTURNO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.0,0.0,0.0
MATUTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.2016,0.2016,0.0
VESPERTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.2778,0.2778,0.0
NOCTURNO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.2619,0.2619,0.0
MATUTINO,9123,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.0744,0.0,0.0
VESPERTINO,9123,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.1034,0.0,0.0
NOCTURNO,9123,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.1219,0.0,0.0
MATUTINO,9084,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.0872,0.0872,0.0
VESPERTINO,9084,PARTICULAR,BACHILLERATO,BIS NO ESC,0.3095,0.069,0.069,0.0
NOCTURNO,9084,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.2022,0.2022,0.0
VESPERTINO,9328,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.2192,0.2192,0.0
NOCTURNO,9328,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.2727,0.2727,0.0
MATUTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.1148,0.0,0.0
VESPERTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.0526,0.0,0.0
VESPERTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.2586,0.0,0.0,0.0
NOCTURNO,9386,PARTICULAR,BACHILLERATO,BIS NO ESC,0.7358,0.0714,0.0714,0.0
MATUTINO,9066,PARTICULAR,BACHILLERATO,BIS NO ESC,0.4095,0.1129,0.0,0.0
VESPERTINO,9066,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.0741,0.0,0.0
NOCTURNO,9066,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.1579,0.0,0.0
MATUTINO,9025,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.3077,0.3077,0.0
VESPERTINO,9025,PARTICULAR,BACHILLERATO,BIS NO ESC,1.0,0.0,0.0,0.0
MATUTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.0,0.0,0.0
MATUTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.0,0.0,0.0
VESPERTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.0,0.0,0.0
NOCTURNO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.16,0.0,0.0,0.0
NOCTURNO,9352,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.0,0.0,0.0
VESPERTINO,9027,PARTICULAR,BACHILLERATO,BIS NO ESC,0.375,0.0,0.0,0.0
MATUTINO,9066,PARTICULAR,BACHILLERATO,BIS NO ESC,0.2083,1.0,1.0,0.0
MATUTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.25,0.5385,0.4359,0.0
VESPERTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.5357,0.2857,0.0
NOCTURNO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0432,0.2932,0.1128,0.0
NOCTURNO,9351,PARTICULAR,BACHILLERATO,BIS NO ESC,0.4,0.0,0.0,0.0
MATUTINO,9029,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.0,0.0,0.0
MATUTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.1667,0.0,0.0,0.0
VESPERTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.2281,0.0,0.0,0.0
MATUTINO,9368,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.0609,0.0609,0.0
MATUTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.3333,0.3333,0.0
MATUTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.0,0.0,0.0
MATUTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.1875,0.1875,0.0
MATUTINO,9020,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.4,0.4,0.0
VESPERTINO,9020,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,1.0,1.0,0.0
MATUTINO,9366,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.0,0.0,0.0
MATUTINO,273,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.0,0.0,0.0
MATUTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.0,0.0,0.0
VESPERTINO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.0,0.0,0.0
NOCTURNO,9000,PARTICULAR,BACHILLERATO,BIS NO ESC,0.0,0.0,0.0,0.0
MATUTINO,9017,PARTICULAR,BACHILLERATO,GENERAL,0.2115,0.2195,0.122,0.0
MATUTINO,0,PARTICULAR,BACHILLERATO,TECNOLOGICO,0.0541,0.2286,0.0286,0.7391
MATUTINO,9043,PARTICULAR,BACHILLERATO,TECNOLOGICO,0.0625,0.1467,0.0,0.6409999999999999
MATUTINO,9066,PARTICULAR,BACHILLERATO,TECNOLOGICO,0.08,0.3478,0.2609,0.5143
MATUTINO,9356,PARTICULAR,BACHILLERATO,TECNOLOGICO,0.2963,0.0526,0.0526,0.0
MATUTINO,0,PARTICULAR,BACHILLERATO,TECNOLOGICO,1.0,0.0,0.0,0.4375
MATUTINO,272,PARTICULAR,BACHILLERATO,TECNOLOGICO,0.09300000000000001,0.0,0.0,0.625
MATUTINO,9368,PARTICULAR,BACHILLERATO,TECNOLOGICO,0.1646,0.0936,0.0936,0.6628
VESPERTINO,0,PARTICULAR,BACHILLERATO,TECNOLOGICO,0.2,0.0,0.0,0.7419
MATUTINO,0,PARTICULAR,BACHILLERATO,TECNOLOGICO,0.1818,0.0,0.0,0.64
VESPERTINO,0,PARTICULAR,BACHILLERATO,TECNOLOGICO,0.3382,0.2,0.0444,0.2593
MATUTINO,9415,PARTICULAR,BACHILLERATO,TECNOLOGICO,0.2431,0.0,0.0,0.5424
DISCONTINUO,9069,PARTICULAR,BACHILLERATO,TECNOLOGICO,0.0638,0.3182,0.2386,0.8571
VESPERTINO,9386,PARTICULAR,BACHILLERATO,TECNOLOGICO,0.1778,0.4054,0.1216,0.4773
MATUTINO,9029,PARTICULAR,BACHILLERATO,TECNOLOGICO,0.5556,0.0,0.0,0.25
MATUTINO,9000,PARTICULAR,BACHILLERATO,TECNOLOGICO,0.1845,0.1905,0.0357,0.0
MATUTINO,9031,PARTICULAR,BACHILLERATO,TECNOLOGICO,0.0,0.2365,0.11199999999999999,0.0
VESPERTINO,9031,PARTICULAR,BACHILLERATO,TECNOLOGICO,0.0,0.1019,0.0,0.0
MATUTINO,9387,PARTICULAR,BACHILLERATO,TECNOLOGICO,0.6058,0.1951,0.1951,0.0
MATUTINO,9066,PARTICULAR,BACHILLERATO,TECNOLOGICO,0.0,0.2268,0.0515,0.0
VESPERTINO,9066,PARTICULAR,BACHILLERATO,TECNOLOGICO,0.0,0.0,0.0,0.0
MATUTINO,9118,PARTICULAR,PROFESIONAL TECNICO,PROFESIONAL MEDIO,0.2533,0.1214,0.075,0.5994
MATUTINO,9000,PARTICULAR,BACHILLERATO,TECNOLOGICO,0.4261,0.0552,0.0,0.6463
VESPERTINO,9000,PARTICULAR,BACHILLERATO,TECNOLOGICO,0.5651,0.0511,0.0,0.3882
